X;Y;Z;Tempo
0.9562624;1.163886;0.6067348;11:30:25
0.9515989;1.171787;0.3479424;11:30:26
0.9605405;1.170997;0.3416696;11:30:27
1.001513;1.147478;0.3063874;11:30:28
1.172036;1.137715;0.4237719;11:30:29
1.185283;1.269043;0.5163498;11:30:30
1.163372;1.080082;0.7309003;11:30:31
1.043099;1.038506;0.833889;11:30:32
0.9910774;1.022364;0.8934312;11:30:33
0.9749823;0.9972811;0.9125977;11:30:34
0.9911125;0.9928784;0.9251165;11:30:35
1.001136;0.9939438;0.9449382;11:30:36
1.000544;1.008559;0.9613285;11:30:37
0.9981015;1.01113;0.9520359;11:30:38
0.9876151;1.011001;0.9471107;11:30:39
0.992172;1.010636;0.9568348;11:30:40
0.9981449;1.009501;0.9536958;11:30:41
1.005347;1.004513;0.9553242;11:30:42
1.005238;1.00328;0.9552841;11:30:43
0.9997966;0.9996197;0.9647474;11:30:44
0.99383;1.004944;0.9720654;11:30:45
0.9916635;1.009052;0.9591389;11:30:46
0.9959447;1.00749;0.9685264;11:30:47
1.015109;1.006139;0.9860024;11:30:48
1.00745;1.005301;0.9995942;11:30:49
1.009798;1.023064;1.006428;11:30:50
1.008012;1.023754;0.9997325;11:30:51
1.00557;1.018073;0.9979458;11:30:52
1.013981;1.017761;0.9993539;11:30:53
1.015123;1.014724;0.9784317;11:30:54
1.011506;1.003873;0.9804597;11:30:56
0.8954306;1.001747;1.077522;11:30:57
0.9831109;1.008684;1.218002;11:30:58
1.008719;1.01569;1.36581;11:30:59
0.970803;0.9957314;1.328992;11:31:00
0.9714112;0.9933721;1.312564;11:31:01
1.012101;0.9882152;1.411105;11:31:02
1.013041;0.9900546;1.367754;11:31:03
1.036288;0.9805734;1.439292;11:31:04
0.8794453;0.9848317;1.565651;11:31:05
0.8493834;0.974394;1.746174;11:31:06
0.8476374;0.967244;1.869618;11:31:07
0.7893102;0.9567005;1.884217;11:31:08
0.7747316;0.9500567;1.918707;11:31:09
0.7509229;0.9452542;1.939485;11:31:10
0.7405992;0.9408385;1.938622;11:31:11
0.7400596;0.9427235;1.935107;11:31:12
0.7239432;0.9472377;1.897868;11:31:13
0.7056181;0.9567063;2.060849;11:31:14
0.5409091;0.957276;2.428689;11:31:15
0.544471;0.9433539;2.804865;11:31:16
0.4490519;0.9567972;2.936961;11:31:17
0.4524722;0.9555818;3.048337;11:31:18
0.2496667;0.9520829;3.365806;11:31:19
0.08764362;0.9414787;3.750049;11:31:20
0.02583551;0.9454787;3.899665;11:31:21
0.01530266;0.9479117;3.889777;11:31:22
-0.01489258;0.9461206;3.860084;11:31:23
0.08381605;0.9469229;3.934841;11:31:24
0.1634688;0.9657274;3.692644;11:31:25
0.2416258;0.9722456;3.611378;11:31:26
0.2954125;0.9658953;3.414341;11:31:27
0.2913141;0.9681813;3.380946;11:31:28
0.3253775;0.9662778;3.45168;11:31:29
0.3214025;0.9667591;3.46427;11:31:30
0.3171549;0.9648065;3.463843;11:31:31
0.3214531;0.9638264;3.456218;11:31:32
0.2410645;0.9616085;3.327418;11:31:33
0.340766;0.9757469;3.461884;11:31:34
0.3666697;0.9679095;3.121108;11:31:35
0.5804069;0.9682144;2.516368;11:31:36
0.7670307;0.9699951;1.833189;11:31:37
0.8765979;0.9589601;1.300225;11:31:38
0.9695852;0.9306798;1.151039;11:31:39
0.9551663;0.9515553;1.22019;11:31:40
0.7541156;0.9821885;1.35469;11:31:41
0.702821;0.9670399;1.280421;11:31:42
0.7781551;0.883032;1.036926;11:31:43
0.7819221;0.868557;1.04457;11:31:44
0.7270467;0.9763105;1.250545;11:31:45
0.7841601;0.9746125;1.370262;11:31:46
0.7871699;0.9859832;1.60337;11:31:47
0.6653383;0.9907292;1.836207;11:31:48
0.6545143;0.9865238;2.327445;11:31:49
0.4799705;0.9971805;2.866613;11:31:50
0.254241;0.9905291;3.404817;11:31:51
0.1511183;1.002109;3.775357;11:31:52
0.07517338;0.9972708;4.117007;11:31:53
-0.03364086;0.9811714;4.171278;11:31:54
0.07851601;1.028034;4.097299;11:31:55
0.344202;1.044203;4.081581;11:31:56
0.2879705;1.028652;4.045009;11:31:57
0.3973107;1.021258;4.14978;11:31:58
0.6253786;1.022177;4.402563;11:31:59
0.785346;1.00964;4.526984;11:32:00
0.7511396;1.013913;4.533904;11:32:01
0.6698973;1.026266;4.486561;11:32:02
0.4518828;1.016665;4.487309;11:32:03
0.2408667;1.006247;4.652869;11:32:04
-0.08788872;0.9927601;4.779129;11:32:05
-0.08103132;0.9947018;4.774984;11:32:06
0.1477742;1.037137;4.802257;11:32:07
0.2396221;1.041344;4.749312;11:32:08
0.4428577;1.034051;4.59742;11:32:09
0.4025078;1.032792;4.745694;11:32:10
0.4749188;1.041768;4.699078;11:32:11
0.4807429;1.025138;4.69978;11:32:12
0.413394;1.0291;4.752675;11:32:13
0.4006128;1.018443;4.757869;11:32:14
0.4082155;1.017944;4.754905;11:32:15
0.4260602;1.021731;4.729131;11:32:16
0.5625272;1.01962;4.658226;11:32:17
0.7713556;1.019932;4.91018;11:32:18
1.160547;1.025561;5.064501;11:32:19
1.490595;1.021625;5.342553;11:32:20
1.94958;1.025905;5.695692;11:32:21
2.372803;1.008071;6.10618;11:32:22
2.51176;0.9929426;6.39535;11:32:23
2.562033;0.9977394;6.388924;11:32:24
2.481311;1.011545;6.219225;11:32:25
2.457621;1.001889;6.143313;11:32:26
2.584892;0.9493227;6.351289;11:32:27
2.60685;0.8988651;6.415083;11:32:28
2.446691;1.002611;6.180967;11:32:29
2.361419;1.019673;6.154719;11:32:30
2.160048;1.012265;5.862137;11:32:31
1.789613;1.029914;5.632365;11:32:32
1.344455;1.007798;5.506362;11:32:33
0.9626722;1.007685;5.18457;11:32:35
0.6263766;1.024414;4.870184;11:32:36
0.1913142;1.000035;4.812892;11:32:37
0.1514225;0.9956521;4.736673;11:32:38
0.2437091;1.019217;4.744832;11:32:39
0.3316965;1.018206;4.685186;11:32:40
0.3682103;1.010445;4.685981;11:32:41
0.4725385;1.018929;4.823067;11:32:42
0.4885612;1.02323;4.735593;11:32:43
0.4015927;1.017567;4.666943;11:32:44
0.2471962;0.9965284;4.763769;11:32:45
0.1808052;0.9856979;4.779531;11:32:46
0.1609716;0.9777588;4.797421;11:32:47
0.1809011;0.9610462;4.772557;11:32:48
0.2669992;0.9796433;4.748169;11:32:49
0.3742156;0.9950508;4.689734;11:32:50
0.3382478;1.00211;4.708979;11:32:51
0.4449158;1.017101;4.611893;11:32:52
0.4434185;1.00946;4.699337;11:32:53
0.497498;1.018168;4.831615;11:32:54
0.5377045;1.028093;4.713397;11:32:55
0.4852147;1.025311;4.650835;11:32:56
0.559186;1.03531;4.399834;11:32:57
0.3275981;1.024082;4.328244;11:32:58
0.3601298;1.012884;3.935575;11:32:59
0.2637634;0.9892008;3.523893;11:33:00
0.342875;1.018185;3.253429;11:33:01
0.2024221;1.040982;3.109352;11:33:02
0.2771378;1.037136;3.276658;11:33:03
0.2432346;1.029213;3.334218;11:33:04
0.2018967;1.027161;3.595041;11:33:05
0.4667425;1.016988;3.93028;11:33:06
0.5646234;1.027446;4.358057;11:33:07
0.7537034;1.04715;4.811387;11:33:08
1.118378;1.048671;5.171385;11:33:09
1.410222;1.037163;5.638827;11:33:10
1.603141;1.053899;6.072924;11:33:11
1.639022;1.065418;6.486917;11:33:12
1.423374;1.061407;6.695135;11:33:13
1.430704;1.050658;6.742692;11:33:14
1.574293;1.033621;6.49703;11:33:15
1.594227;1.02847;6.316333;11:33:16
1.575296;1.036442;5.920148;11:33:17
1.280797;1.044174;5.393569;11:33:18
0.8513823;1.012628;4.864361;11:33:19
0.4080768;1.022196;4.422877;11:33:20
0.1103168;1.013665;4.069005;11:33:21
-0.06011295;0.9980366;3.935136;11:33:22
0.09374094;1.03311;3.97532;11:33:23
0.3605847;1.026021;4.266007;11:33:24
0.3726501;1.033104;4.650946;11:33:25
0.7898467;1.039989;5.059659;11:33:26
1.313404;1.038033;5.474792;11:33:27
1.757338;1.023166;6.01;11:33:28
1.965228;1.054317;6.52454;11:33:29
2.149819;1.04072;6.974133;11:33:30
2.00932;1.038378;7.336524;11:33:31
2.083285;1.022626;7.686487;11:33:32
2.114997;0.9809726;7.906237;11:33:33
2.082716;0.9938323;7.790847;11:33:34
2.049233;0.9707748;7.812373;11:33:35
2.034374;0.9847609;7.713203;11:33:36
2.104328;1.007844;7.440035;11:33:37
2.03742;0.995637;7.390984;11:33:38
2.082569;0.9537416;7.608724;11:33:39
1.979593;1.007749;7.298448;11:33:40
1.996573;1.012734;7.149647;11:33:41
1.8563;1.014607;6.76236;11:33:42
1.772526;1.012757;6.486167;11:33:43
1.539159;1.023222;6.05302;11:33:44
1.298835;1.017292;5.485345;11:33:45
0.9310398;1.038121;4.982916;11:33:46
0.4720731;1.008529;4.580859;11:33:47
0.07854795;1.013419;4.363565;11:33:48
0.04554653;1.007763;4.285356;11:33:49
0.2160082;1.019574;4.443999;11:33:50
0.2481465;1.028299;4.469678;11:33:51
0.2476807;1.010045;4.415604;11:33:52
0.2800031;0.9950519;4.46972;11:33:53
0.2766032;0.9898512;4.495342;11:33:54
0.2543697;0.9707239;4.45712;11:33:55
0.3759475;0.9747472;4.391626;11:33:56
0.3597903;0.9864766;4.222913;11:33:57
0.2501903;1.00553;4.153338;11:33:58
0.01129961;1.002865;4.070651;11:33:59
-0.06376123;0.9916068;4.138869;11:34:00
0.02307177;1.010395;4.080029;11:34:01
0.2702847;1.023685;4.293373;11:34:02
0.1697974;1.035884;4.606534;11:34:03
0.2236319;1.013061;5.133224;11:34:04
0.2225342;1.033809;5.619523;11:34:05
0.1514993;1.038107;6.07747;11:34:06
0.2131987;1.01922;6.623229;11:34:07
0.3408847;1.022019;7.104788;11:34:08
0.4467793;1.017794;7.463645;11:34:09
0.5428896;0.9975662;7.545305;11:34:10
0.3580256;1.025645;7.505678;11:34:11
0.1541152;1.025897;7.11222;11:34:12
0.1299071;1.032142;6.741344;11:34:13
0.0823884;1.027929;6.23506;11:34:14
-0.006818771;1.021186;5.800653;11:34:15
-0.06857061;1.004676;5.34306;11:34:16
-0.1965122;0.9866223;5.190966;11:34:17
-0.04865408;1.013601;5.346214;11:34:18
0.08148718;1.042986;5.34403;11:34:19
0.05964756;1.043081;5.358773;11:34:20
0.1993155;1.043325;5.450576;11:34:21
0.5153127;1.029681;5.255902;11:34:22
0.9575191;1.017125;5.412383;11:34:23
1.426578;1.019396;5.498884;11:34:24
1.794288;1.044241;5.829664;11:34:25
1.830974;1.044493;6.152443;11:34:27
1.884101;1.041292;6.453276;11:34:28
1.900941;1.027642;6.76464;11:34:29
2.068501;1.028675;7.168309;11:34:30
2.265384;1.051262;7.476655;11:34:31
2.349666;1.051973;7.759591;11:34:32
2.426921;1.046226;7.751296;11:34:33
2.292967;1.047887;7.703057;11:34:34
2.111547;1.042648;7.658516;11:34:35
2.017895;1.036288;7.488769;11:34:36
1.866271;1.028903;7.3211;11:34:37
1.818919;1.026464;6.914169;11:34:38
1.63955;1.013091;6.433623;11:34:39
1.470347;1.017244;5.933268;11:34:40
1.256734;1.01941;5.41845;11:34:41
0.8520274;1.024995;4.950505;11:34:42
0.4500918;1.008933;4.515178;11:34:43
0.2659736;0.99393;4.247782;11:34:44
0.2907782;1.014837;4.342384;11:34:45
0.3625355;1.042978;4.507126;11:34:46
0.4718437;1.037804;4.558163;11:34:47
0.2992048;1.021882;4.93657;11:34:48
0.2509689;1.028299;5.459257;11:34:49
0.1050677;1.022226;6.009004;11:34:50
0.1026878;1.041869;6.686311;11:34:51
0.222908;1.018883;7.375594;11:34:52
