X;Y;Z;Tempo
0.9601277;1.156709;0.337387;11:06:48
0.9722596;1.155532;0.3287351;11:06:49
0.9503342;1.245061;0.3512225;11:06:50
0.7791471;1.125916;0.5124291;11:06:51
0.9268383;0.9990735;0.8699348;11:06:52
0.8449997;1.045656;1.034184;11:06:53
0.7315578;1.059859;1.201168;11:06:54
0.6488308;1.084347;1.393472;11:06:55
0.6851836;1.05794;1.427714;11:06:56
0.6884164;1.061506;1.445865;11:06:57
0.6805967;1.088112;1.451356;11:06:58
0.6098722;1.073199;1.598909;11:06:59
0.6631086;1.06614;1.563029;11:07:00
0.649884;1.03756;1.590578;11:07:01
0.663219;1.097278;1.631063;11:07:02
0.7414217;1.092224;1.663991;11:07:03
0.9524724;1.099036;1.741638;11:07:04
0.9848773;1.089015;1.77781;11:07:05
1.02136;1.11047;1.744183;11:07:06
1.020916;1.09884;1.74101;11:07:07
0.9938346;1.093381;1.750281;11:07:08
0.9903052;1.091927;1.748012;11:07:09
0.9713354;1.090093;1.76018;11:07:10
0.9767951;1.088756;1.73892;11:07:11
0.9732738;1.09014;1.741247;11:07:12
0.985055;1.091555;1.740741;11:07:13
0.9942096;1.092582;1.742562;11:07:14
0.9902446;1.093596;1.739883;11:07:15
0.9918404;1.091069;1.743019;11:07:16
0.9912245;1.093503;1.782445;11:07:17
1.010322;1.099822;1.842762;11:07:18
1.037976;1.104984;1.874657;11:07:19
1.060065;1.109542;1.826226;11:07:20
1.128591;1.128362;1.834923;11:07:21
1.181789;1.132;1.84856;11:07:22
1.19207;1.13155;2.003976;11:07:23
1.132822;1.125087;1.99106;11:07:24
1.366307;1.126494;1.939475;11:07:25
1.662806;1.111035;1.854929;11:07:26
1.676905;1.127555;2.019784;11:07:27
1.821179;1.109958;2.034791;11:07:28
1.915391;1.073193;2.041389;11:07:29
1.769528;1.122696;2.036011;11:07:30
1.727726;1.127408;2.059313;11:07:31
1.735806;1.125287;2.055346;11:07:32
1.724308;1.121172;2.086759;11:07:33
2.133017;1.115705;2.168143;11:07:34
2.357639;1.112776;2.382663;11:07:35
2.885181;1.100586;2.47715;11:07:36
3.292611;1.067775;2.492007;11:07:37
3.639973;1.018226;2.531181;11:07:38
3.761911;0.953919;2.483709;11:07:39
3.743699;0.9665172;2.507706;11:07:40
3.831355;0.8814571;2.478671;11:07:41
3.803465;0.9068115;2.500962;11:07:42
3.832965;0.8592333;2.485321;11:07:43
3.824676;0.8697431;2.478469;11:07:44
3.786529;0.9065353;2.491607;11:07:45
3.704158;0.9719632;2.525786;11:07:46
3.832415;0.8309938;2.467069;11:07:48
3.82251;0.8494179;2.457831;11:07:49
3.749479;0.9365399;2.48313;11:07:50
3.694468;0.9667511;2.514833;11:07:51
3.828033;0.8223117;2.465581;11:07:52
3.829424;0.8236426;2.45369;11:07:53
3.753077;0.9419046;2.487509;11:07:54
3.687731;1.00227;2.482931;11:07:55
3.485525;1.052044;2.581639;11:07:56
3.016922;1.040061;2.386104;11:07:57
2.520083;1.069701;2.318805;11:07:58
1.919146;1.076747;2.211821;11:07:59
1.189952;1.054331;2.227015;11:08:00
0.4963547;1.016213;2.183486;11:08:01
0.0387969;0.9455124;2.180167;11:08:02
0.1414551;0.9934337;2.160015;11:08:03
0.8958665;1.054455;2.240262;11:08:04
1.466465;1.078531;2.23107;11:08:05
2.113872;1.014205;2.264441;11:08:06
2.331341;1.012136;2.324991;11:08:07
2.367545;1.013922;2.380799;11:08:08
2.585845;1.065592;2.609411;11:08:09
2.835344;1.143038;2.70921;11:08:10
3.231338;1.122266;2.518923;11:08:11
3.835596;1.132748;2.446594;11:08:12
4.35598;1.122563;2.407405;11:08:13
