X;Y;Z;Tempo
0.9364411;1.168319;0.3335218;11:07:13
0.9623036;1.171956;0.3191636;11:07:14
0.9591854;1.126898;0.4351296;11:07:15
0.9474641;1.145228;0.9376013;11:07:16
0.7518766;1.148767;1.228601;11:07:17
0.5391322;1.223889;1.943284;11:07:18
0.1820828;0.9288745;3.042647;11:07:19
-0.4596151;0.7816437;3.465976;11:07:20
-0.5220194;0.693796;3.495454;11:07:21
-0.5795341;0.6976063;3.494304;11:07:22
-0.6785001;0.7199469;3.553713;11:07:23
-0.6583034;0.7356862;3.532154;11:07:24
-0.6209121;0.7343639;3.542397;11:07:25
-0.6277641;0.7437218;3.593624;11:07:26
-0.5478143;0.7664945;3.607394;11:07:27
-0.5670164;0.7354159;3.408274;11:07:28
-0.2954205;0.7513895;3.366929;11:07:29
-0.3115193;0.8318255;3.304216;11:07:30
-0.2447596;1.015176;3.324978;11:07:31
-0.09295988;1.082946;3.314918;11:07:32
-0.00443162;1.0482;3.315978;11:07:33
0.00670138;1.04157;3.299601;11:07:34
-0.01576985;1.038806;3.285115;11:07:35
-0.02169779;1.034375;3.268307;11:07:36
-0.02370346;1.027422;3.234543;11:07:37
-0.02325673;1.045381;3.240685;11:07:38
-0.03659515;1.051136;3.237622;11:07:39
-0.0356334;1.054264;3.240514;11:07:40
-0.02266704;1.055141;3.309675;11:07:41
-0.03134621;1.047594;3.316336;11:07:42
-0.02730586;1.048798;3.297628;11:07:43
-0.01418133;1.051725;3.262455;11:07:44
-0.02328692;1.056474;3.281335;11:07:46
-0.03019549;1.055418;3.264181;11:07:47
-0.008785307;1.052691;3.325027;11:07:48
-0.4583611;1.036328;3.288022;11:07:49
-1.108943;1.044081;3.682159;11:07:50
-1.427694;1.021851;3.977302;11:07:51
-1.40074;1.028934;3.567307;11:07:52
-0.9166501;1.016008;3.26897;11:07:53
-0.5050321;0.9963202;2.792099;11:07:54
-0.2048304;0.9785196;2.148424;11:07:55
0.04994901;0.9678671;1.544521;11:07:56
0.2089659;0.9326763;1.211155;11:07:57
-0.007022738;0.9428545;1.391615;11:07:58
-0.07305872;0.9532002;1.433504;11:07:59
-0.06411257;0.9964685;1.401091;11:08:00
-0.0609826;0.993305;1.291991;11:08:01
0.003368929;0.9983851;1.231777;11:08:02
0.02059588;0.9993636;1.176249;11:08:03
0.05545145;0.9971682;1.122239;11:08:04
0.09367552;1.008283;1.170113;11:08:05
0.06012505;1.010162;1.14076;11:08:06
0.07000725;1.001483;1.165947;11:08:07
0.09272493;0.9983428;1.429547;11:08:08
0.2598602;1.002744;1.486778;11:08:09
0.2084526;0.9926326;1.461907;11:08:10
0.1297161;0.9877976;1.407822;11:08:11
0.08582374;0.9806747;1.381933;11:08:12
0.06212859;0.9812031;1.203039;11:08:13
0.05350766;0.9988748;1.2508;11:08:14
-0.1787779;0.9830425;1.080937;11:08:15
-0.2218416;0.9680761;1.099369;11:08:16
-0.2428174;0.9821708;1.122609;11:08:17
0.04654413;1.032709;1.367066;11:08:18
0.04033212;1.030505;1.323826;11:08:19
0.009047747;0.9906597;1.226233;11:08:20
-0.1383025;0.9771823;1.10942;11:08:21
-0.1734071;0.9739971;1.10893;11:08:22
-0.1431171;0.9656644;1.14638;11:08:23
-0.196451;0.9609673;1.125301;11:08:24
-0.2023294;0.962608;1.067231;11:08:25
-0.3268922;0.950474;0.9715221;11:08:26
-0.3290414;0.9503722;0.9647887;11:08:27
-0.3227324;0.9629035;0.9837308;11:08:28
-0.3258272;0.9640419;0.9730771;11:08:29
-0.3367782;0.9588076;0.981478;11:08:30
-0.278075;0.9594672;1.038513;11:08:31
-0.2589441;0.9454736;1.01833;11:08:32
0.04552169;0.9851429;1.27014;11:08:33
0.1492188;1.0128;1.42356;11:08:34
0.3160263;0.9982758;1.573075;11:08:35
0.3686594;1.021353;1.646286;11:08:36
0.4910519;1.016697;1.624527;11:08:37
0.4477395;0.9967812;1.662953;11:08:38
0.5629376;1.016769;1.653506;11:08:39
0.670195;1.01873;1.780565;11:08:40
0.7034078;1.024498;2.185542;11:08:41
0.6726664;1.03208;2.224723;11:08:42
0.4541168;1.014392;2.384545;11:08:43
-0.1549858;0.99636;2.774942;11:08:44
-0.4875222;0.9801196;3.121028;11:08:45
-0.3696143;0.980199;3.005638;11:08:46
-0.2634996;0.9822576;2.86121;11:08:47
-0.3277889;0.9694716;2.909614;11:08:48
-0.13123;0.9803714;2.897499;11:08:49
-0.2855228;0.9735028;3.020312;11:08:50
-0.2363331;0.979103;3.057525;11:08:51
-0.2769296;0.9682593;3.046157;11:08:52
-0.1424071;0.9904608;3.036365;11:08:53
0.01125178;1.045484;3.01885;11:08:54
-0.01739903;1.035318;3.019964;11:08:55
-0.01797418;1.038017;2.9757;11:08:56
-0.1439636;0.9873968;3.031343;11:08:57
-0.2104268;0.9820501;3.065733;11:08:58
-0.296678;0.9692838;3.046821;11:08:59
-0.3001596;0.9681585;3.017716;11:09:00
-0.3281069;0.968307;2.985789;11:09:01
-0.3855015;0.951294;2.966381;11:09:02
-0.4049613;0.946159;2.961445;11:09:03
-0.4418257;0.9256915;2.939788;11:09:04
-0.4220504;0.9240849;2.948133;11:09:05
-0.4185478;0.9175487;2.951418;11:09:06
-0.4650627;0.8900698;2.943163;11:09:07
-0.4715351;0.8871767;2.930903;11:09:08
-0.4968058;0.8804138;2.92619;11:09:09
-0.4466668;0.9187339;2.916946;11:09:10
-0.2884935;0.9933974;2.872124;11:09:11
-0.5143756;0.9234185;2.97377;11:09:12
-0.4998228;0.9229105;2.98079;11:09:13
-0.4638988;0.9667658;2.958398;11:09:14
-0.4956706;0.9480448;2.982522;11:09:15
-0.3730954;1.029235;3.074419;11:09:16
-0.2480745;1.010607;3.15391;11:09:17
-0.1798647;0.9914119;3.209906;11:09:18
-0.4062741;0.9389703;3.069889;11:09:19
-0.4715156;0.9008427;3.028657;11:09:20
-0.4182517;0.9160298;3.040176;11:09:21
-0.2872517;0.9777671;3.083232;11:09:22
-0.2451486;1.040419;3.123944;11:09:23
-0.2445291;1.044818;3.15916;11:09:24
-0.3157823;1.025627;3.169785;11:09:25
-0.2555175;1.020751;3.180212;11:09:26
-0.2580666;1.021805;3.162869;11:09:27
-0.2535125;1.020814;3.161437;11:09:28
-0.1998376;1.026439;3.123572;11:09:29
-0.263486;1.018922;3.147653;11:09:30
-0.3007967;0.9867189;3.130993;11:09:31
-0.3441881;0.9780724;3.133395;11:09:32
-0.3118247;0.99537;3.118874;11:09:34
-0.3406997;0.9960687;3.14306;11:09:34
-0.4807825;0.9205755;3.030492;11:09:35
-0.4975723;0.9008185;3.024763;11:09:37
-0.4959568;0.897174;3.013599;11:09:38
-0.4553426;0.9393725;3.048789;11:09:39
-0.2439716;0.970145;3.117132;11:09:40
-0.3105115;0.9685873;3.059473;11:09:41
-0.3871194;0.9470441;3.021203;11:09:42
-0.3675999;0.9470935;2.931744;11:09:43
-0.3446051;0.9478916;2.928835;11:09:44
-0.3620165;0.9469079;2.907459;11:09:45
-0.279435;0.9521142;2.848578;11:09:46
-0.3740515;0.9195715;2.857394;11:09:47
-0.4491724;0.9056202;2.916772;11:09:48
-0.5196211;0.8747343;2.939312;11:09:49
-0.4994665;0.8924526;2.948183;11:09:50
-0.4363531;0.9417208;2.910846;11:09:51
-0.4735062;0.9017915;2.900463;11:09:52
-0.4423099;0.9043505;2.893258;11:09:53
-0.4160812;0.9120636;2.904242;11:09:54
-0.2252076;1.014323;2.97154;11:09:55
-0.1606859;1.047845;3.183473;11:09:56
-0.1729603;1.085377;3.149607;11:09:57
-0.1582149;1.033883;3.151387;11:09:58
-0.1906696;1.011906;3.140122;11:09:59
-0.1052698;1.068774;3.306796;11:10:00
-0.1222726;1.044103;3.238952;11:10:01
-0.07025263;1.047588;3.21879;11:10:02
-0.07534465;1.053466;3.232406;11:10:03
-0.09168994;1.053711;3.228702;11:10:04
-0.08545566;1.052495;3.206486;11:10:05
-0.02925344;1.040306;3.229979;11:10:06
-0.02493469;1.046099;3.258352;11:10:07
-0.01775374;1.055534;3.258005;11:10:08
-0.03846584;1.052693;3.261301;11:10:09
-0.01999697;1.055645;3.287884;11:10:10
-0.01688255;1.06416;3.287175;11:10:11
-0.002854615;1.06271;3.314673;11:10:12
-0.008111373;1.060152;3.289388;11:10:13
0.00820227;1.056714;3.295835;11:10:14
0.01005237;1.055802;3.287953;11:10:15
0.0004405528;1.057951;3.282508;11:10:16
0.002735347;1.055768;3.288418;11:10:17
-0.01448482;1.054944;3.257042;11:10:18
-0.02437592;1.023874;3.262315;11:10:19
0.001160324;1.013247;3.15348;11:10:20
0.4524375;0.9931661;2.981153;11:10:21
0.6743054;0.9507197;2.734484;11:10:22
0.7462726;0.937834;2.754398;11:10:23
0.6562997;0.926386;2.526982;11:10:24
0.6849453;0.9370842;2.504724;11:10:25
0.831899;0.9485366;2.368682;11:10:26
0.7742543;0.9298917;1.998678;11:10:27
0.6522033;0.9454612;1.714786;11:10:28
0.5177706;0.9366546;1.43209;11:10:29
0.1668543;0.9351121;1.199504;11:10:30
0.0110241;0.9430768;1.018183;11:10:31
-0.008438423;0.9625775;1.026974;11:10:32
0.212333;0.9962527;1.22749;11:10:33
0.1571264;0.9955541;1.657113;11:10:34
0.09583706;0.9801189;2.159068;11:10:35
-0.0156592;0.9912924;2.637189;11:10:36
-0.246105;0.9753445;2.800768;11:10:37
-0.4099026;0.9356803;2.959509;11:10:38
-0.5133297;0.9139036;2.968514;11:10:39
-0.4372107;0.9584696;2.97025;11:10:40
-0.4346722;0.9483063;2.939307;11:10:41
-0.5150844;0.9123951;2.97559;11:10:42
-0.5445458;0.9024159;3.017392;11:10:43
-0.2782817;0.9420167;3.021886;11:10:44
-0.2458972;0.9256963;3.187438;11:10:45
0.006581858;0.9458847;3.024671;11:10:46
0.07323933;0.9503837;2.530592;11:10:47
0.1109283;0.9588528;1.94743;11:10:48
0.1597153;0.9393893;1.478384;11:10:49
0.2860453;0.97988;1.583591;11:10:50
0.3513575;1.004612;1.976894;11:10:51
0.6362956;1.01485;2.272645;11:10:52
0.6618141;1.029892;2.473972;11:10:53
0.5992748;1.027894;2.44042;11:10:54
0.6203025;1.021719;2.495845;11:10:55
0.5374805;1.052476;2.46783;11:10:56
0.6127875;1.038597;2.417876;11:10:57
0.6620281;1.032398;2.967898;11:10:58
0.9670802;1.046686;3.477526;11:10:59
1.460997;1.05503;3.769985;11:11:00
1.758185;1.043384;4.291718;11:11:01
2.001043;1.044537;4.921804;11:11:02
2.037658;1.047975;4.982673;11:11:03
1.87217;1.060784;5.175073;11:11:04
1.92493;1.043327;5.130075;11:11:05
1.932972;1.053413;5.180288;11:11:06
1.857986;1.032017;5.077576;11:11:07
1.904217;1.007126;4.975561;11:11:08
1.772295;1.056692;5.307004;11:11:09
1.851077;1.071079;5.376289;11:11:10
1.865807;1.066122;5.376827;11:11:11
1.838392;1.063708;5.257418;11:11:12
1.846549;1.053407;5.014829;11:11:13
1.825824;1.020987;4.547801;11:11:14
1.714064;1.015438;3.90163;11:11:15
1.466343;1.00755;3.262006;11:11:16
1.029117;0.9788365;2.620033;11:11:17
0.765904;0.9584134;2.099944;11:11:18
0.5635868;0.9410707;1.702834;11:11:19
0.5867255;0.9590487;1.292458;11:11:20
0.6919749;0.9550809;1.045875;11:11:21
0.5694625;0.9834638;1.106602;11:11:22
0.5933039;0.988356;1.078367;11:11:23
0.5968813;0.9833413;1.161022;11:11:25
0.5625439;0.9887493;1.144021;11:11:26
0.5433668;0.9959307;1.263103;11:11:27
0.4451556;0.9929377;1.155782;11:11:28
0.4511025;0.9436879;1.185185;11:11:29
0.4576133;0.9487521;1.198615;11:11:30
0.4692632;0.9458443;1.146986;11:11:31
0.5750273;0.9482753;1.196102;11:11:32
0.2329369;0.9541788;1.126117;11:11:33
0.1182455;0.9439803;1.095634;11:11:34
-0.01028612;0.9497546;1.10626;11:11:35
0.05112746;0.9514503;1.125165;11:11:36
-0.07408398;0.9533631;1.077638;11:11:37
0.01285806;0.9537789;1.199772;11:11:38
-0.02187672;0.945991;1.02367;11:11:39
0.002905399;0.9565209;1.165426;11:11:40
0.0494791;0.9542634;1.18776;11:11:41
0.04068214;0.9510391;1.163563;11:11:42
0.09479913;0.951325;1.223681;11:11:43
0.05937347;0.9569259;1.206838;11:11:44
0.02631152;0.9632596;1.246346;11:11:45
-0.07719597;0.944645;1.16469;11:11:46
-0.09953472;0.9462801;1.101492;11:11:47
0.1519362;0.9414246;1.215913;11:11:48
0.2570935;0.9561676;1.317427;11:11:49
0.3326084;0.9733573;1.284917;11:11:50
0.4037694;0.9460586;1.391082;11:11:51
0.6100141;0.9468257;1.810618;11:11:52
0.4898066;0.9209714;2.126359;11:11:53
0.5233598;0.9452352;2.188477;11:11:54
0.5349898;0.9561455;2.186176;11:11:55
0.537397;0.9454121;2.211054;11:11:56
0.5507983;0.9404722;2.17119;11:11:57
0.4285122;0.9202741;2.145178;11:11:58
0.02592415;0.9320754;2.253675;11:11:59
0.03543997;0.9267018;2.217951;11:12:00
0.06032187;0.919488;1.942192;11:12:01
0.08371744;0.9294358;1.538535;11:12:02
0.1039903;0.9326355;1.786839;11:12:03
0.408788;0.9218397;1.942049;11:12:04
0.7440541;0.9534245;1.921772;11:12:05
0.9376591;0.9522033;1.899449;11:12:06
1.327722;0.944752;1.930453;11:12:07
1.408661;0.939373;2.022461;11:12:08
1.134619;0.9218203;1.902355;11:12:09
0.8014354;0.9217906;1.6378;11:12:10
0.4142239;0.9384098;1.494754;11:12:11
0.202797;0.9382018;1.430064;11:12:12
0.5352855;0.947138;1.678475;11:12:13
0.676614;0.9503449;1.728033;11:12:14
0.6980022;0.9764106;1.741788;11:12:15
0.6908835;0.9589086;1.661359;11:12:16
0.63061;0.9330658;1.637203;11:12:17
0.5463061;0.9453559;1.834129;11:12:18
0.6843799;0.9285129;2.248026;11:12:19
0.6994215;0.9365095;2.355392;11:12:20
0.5850415;0.9352868;2.564598;11:12:21
0.5181155;0.9172056;2.804253;11:12:22
0.3891523;0.9243739;2.558348;11:12:23
0.3794582;0.9256045;2.02833;11:12:24
0.3888942;0.9099436;1.740552;11:12:25
0.4520796;0.9215019;2.064277;11:12:26
0.4474525;0.9275317;2.44729;11:12:27
0.6613711;0.9393137;2.711689;11:12:28
0.5502532;0.931784;2.861994;11:12:29
0.5019673;0.9189448;2.999441;11:12:30
0.09084174;0.9171782;2.943195;11:12:31
-0.3800055;0.8960405;3.143881;11:12:32
-0.8035146;0.8912152;3.103938;11:12:33
-0.7923399;0.8958117;3.057789;11:12:34
-0.7373389;0.9089602;3.096279;11:12:35
-0.5904133;0.9183869;3.149163;11:12:36
-0.5736406;0.9143595;3.139386;11:12:37
-0.3520027;0.9174629;3.175432;11:12:38
-0.1510592;0.9036677;3.360682;11:12:39
0.346781;0.8812004;3.275116;11:12:40
0.883609;0.9304325;3.419165;11:12:41
0.9813698;0.925681;3.475009;11:12:42
0.9667517;0.9144426;3.515298;11:12:43
0.9946159;0.9228884;3.50521;11:12:44
1.009545;0.9254492;3.313132;11:12:45
1.108366;0.9309449;3.348065;11:12:46
0.9012583;0.921519;3.136847;11:12:47
0.8868611;0.9342707;3.040893;11:12:48
0.8890676;0.9317549;3.031842;11:12:49
