X;Y;Z;Tempo
0.954604;1.153518;0.3571844;10:49:37
0.9525975;1.153107;0.3468513;10:49:38
0.9527415;1.136271;0.3630366;10:49:39
0.9779238;1.166391;0.7084391;10:49:40
0.6586891;0.9778289;1.288648;10:49:41
0.5446125;0.8525741;1.837009;10:49:42
0.4392723;0.9112404;1.896452;10:49:43
0.2629009;0.9713397;2.062171;10:49:44
0.2312408;0.9256865;2.102662;10:49:45
0.2266244;0.9483616;2.125065;10:49:46
0.2089427;0.9664102;2.153396;10:49:47
0.234061;0.9576946;2.165381;10:49:48
0.2392151;0.9546039;2.155832;10:49:49
0.2304767;0.9535143;2.155318;10:49:50
0.1991696;0.9667501;2.161351;10:49:51
0.221188;0.9595613;2.142795;10:49:52
0.6197964;0.9580607;2.203596;10:49:53
1.22169;0.9373034;2.003908;10:49:54
1.533657;0.9244781;1.851146;10:49:55
1.535685;0.9229971;1.833619;10:49:56
1.31033;0.9358227;1.944191;10:49:57
0.8909757;0.9112829;1.624948;10:49:58
0.5401534;0.9265234;1.476569;10:49:59
0.2430193;0.9172558;1.249096;10:50:00
0.06191978;0.9224993;1.279715;10:50:01
0.1586223;0.930168;1.305051;10:50:02
0.4922262;0.9670907;1.523658;10:50:03
0.4462129;0.9578158;1.411329;10:50:04
0.4077598;0.9638395;1.842736;10:50:05
0.6599702;0.9709296;2.061351;10:50:06
0.8263236;0.9753396;2.596377;10:50:07
1.249594;0.9507245;3.281197;10:50:08
1.671435;0.9614924;3.960891;10:50:09
1.977545;0.9745461;4.627549;10:50:10
2.039212;0.9523617;5.083715;10:50:11
2.109854;0.9477825;5.105751;10:50:12
2.088865;0.9537562;4.916017;10:50:13
1.988518;0.93768;4.443808;10:50:14
1.834763;0.9421737;4.04003;10:50:15
1.641283;0.940313;3.479626;10:50:16
1.473884;0.9284971;2.928951;10:50:17
1.293716;0.9126201;2.377941;10:50:18
0.980159;0.9466475;1.983783;10:50:19
0.580578;0.9458538;1.619929;10:50:20
0.1031187;0.9204978;1.434193;10:50:21
0.2195297;0.9143047;1.396508;10:50:22
0.5500703;0.9206361;1.72353;10:50:23
0.456923;0.8916846;1.943002;10:50:24
0.3807496;0.9010257;1.900936;10:50:25
0.5673628;0.8780441;2.287989;10:50:26
0.6329631;0.8687503;2.36256;10:50:27
0.4862759;0.8839608;2.218619;10:50:28
0.3222829;0.8974806;1.885692;10:50:30
0.3263925;0.9163637;1.725284;10:50:31
0.06646022;0.9141991;1.484118;10:50:32
-0.04734775;0.9046528;1.228023;10:50:33
-0.08404723;0.8956836;1.209853;10:50:34
-0.05699205;0.9195879;1.223977;10:50:35
-0.0170286;0.93175;1.251322;10:50:36
0.3473932;0.9290333;1.693458;10:50:37
0.4042826;0.9199029;2.009699;10:50:38
0.6122181;0.9285502;2.193062;10:50:39
0.5320238;0.9374242;1.973401;10:50:40
0.2439159;0.9235818;2.486168;10:50:41
-0.3147253;0.9117189;3.035322;10:50:42
-0.4896058;0.8517216;3.156115;10:50:43
-0.4076188;0.8969359;3.042237;10:50:44
-0.1229034;0.9182912;2.635989;10:50:45
-0.1579962;0.9276383;2.317511;10:50:46
-0.0175125;0.9406334;2.003695;10:50:47
-0.2112791;0.9254776;1.590342;10:50:48
-0.2699376;0.9379745;1.589828;10:50:49
0.03027567;0.959658;1.905956;10:50:50
-0.1830237;0.9633013;2.168589;10:50:51
-0.4600979;0.9474723;2.781259;10:50:52
-0.9535967;0.9637637;3.366797;10:50:53
-1.423493;0.942556;3.849056;10:50:54
-1.64916;0.9569232;4.237031;10:50:55
-1.599958;0.9561223;4.238199;10:50:56
-1.649527;0.9647087;4.086158;10:50:57
-1.501203;0.9559005;3.790263;10:50:58
-1.22458;0.9399509;3.424312;10:50:59
-0.7617776;0.9402764;3.123566;10:51:00
-0.4000498;0.9437629;2.643148;10:51:01
-0.256363;0.9458909;2.075571;10:51:02
-0.2499504;0.9366204;1.591475;10:51:03
-0.2508987;0.9178783;1.453425;10:51:04
-0.2533794;0.9100772;1.426895;10:51:05
-0.03948742;0.9561865;1.909097;10:51:06
0.1690812;0.9771992;2.119214;10:51:07
-0.0848251;0.9709473;2.47533;10:51:08
-0.4747877;0.9303353;2.984053;10:51:09
-1.049574;0.953761;3.392928;10:51:10
-1.690553;0.9612482;3.644664;10:51:11
-2.230458;0.9494036;3.471138;10:51:12
-2.597541;0.9418265;3.497736;10:51:13
-2.464286;0.9434997;3.487251;10:51:14
-2.095348;0.9474978;3.547592;10:51:15
-1.817633;0.92263;3.3741;10:51:16
-1.298047;0.9318557;3.232292;10:51:17
-0.8324381;0.9454678;3.060622;10:51:18
-0.5216793;0.9291472;2.553482;10:51:19
-0.2645901;0.9350511;2.025397;10:51:20
-0.235393;0.9389337;1.639303;10:51:21
-0.3175334;0.9278921;1.557055;10:51:22
-0.321186;0.9239969;1.541476;10:51:23
-0.2012079;0.9529954;1.628641;10:51:24
-0.03837186;0.9700541;2.000882;10:51:25
0.09896913;0.9456037;1.949012;10:51:26
0.1004783;0.9237621;2.100164;10:51:27
