X;Y;Z;Tempo
0.9492969;1.157564;0.3490729;11:01:42
0.9526504;1.156751;0.3451777;11:01:43
0.9514942;1.159486;0.3379869;11:01:44
0.9737571;1.11615;0.4281576;11:01:45
0.9333766;1.257692;0.7911892;11:01:46
0.6647087;0.884716;1.794086;11:01:47
0.4819251;0.945707;2.54396;11:01:48
0.2394425;1.061395;2.962154;11:01:50
0.1207135;1.137224;3.057243;11:01:51
0.1000902;1.120664;3.050971;11:01:52
0.0735355;1.112304;3.040917;11:01:53
0.07055163;1.079846;3.057455;11:01:54
0.08516431;1.095671;3.066131;11:01:55
0.09914613;1.113216;3.094218;11:01:56
0.1021807;1.139307;3.120413;11:01:57
0.1105083;1.128595;3.153075;11:01:58
0.1066356;1.153766;3.169305;11:01:59
0.1003327;1.147108;3.161841;11:02:00
0.1238511;1.14028;3.177937;11:02:01
0.2893324;1.104885;3.134565;11:02:02
0.5629034;1.151903;2.757643;11:02:03
0.4448024;1.111715;2.805237;11:02:04
0.4953409;1.133406;2.940296;11:02:05
0.5242918;1.132841;2.967474;11:02:06
0.5167456;1.128709;2.953423;11:02:07
0.5009012;1.135095;2.941752;11:02:08
0.6503561;1.100245;2.719754;11:02:09
1.076328;1.109719;2.328321;11:02:10
1.504647;1.097752;2.091842;11:02:11
1.584973;1.08398;1.977629;11:02:12
1.53056;1.092384;2.065372;11:02:13
1.548746;1.083828;2.038126;11:02:14
1.620176;1.073854;1.965218;11:02:15
1.584784;1.082349;2.021365;11:02:16
1.346901;1.088725;1.976939;11:02:17
1.147893;1.0977;2.026504;11:02:18
0.8348036;1.07006;1.811751;11:02:19
0.4714378;1.090787;1.480271;11:02:20
0.2602654;1.077808;1.092441;11:02:21
-0.09603739;1.021553;0.7907469;11:02:22
-0.2170963;0.9827964;0.7185347;11:02:23
0.01270288;1.084353;0.7985151;11:02:24
0.4176415;1.130715;0.860076;11:02:25
0.7295561;1.144118;0.8582039;11:02:26
0.6703711;1.132288;1.2605;11:02:27
0.7704207;1.148893;1.421204;11:02:28
0.9560392;1.133924;1.922655;11:02:29
1.353679;1.133557;2.450564;11:02:30
1.654051;1.130899;3.033873;11:02:31
1.831044;1.165355;3.377724;11:02:32
1.926347;1.172112;3.526625;11:02:33
1.865777;1.165752;3.45704;11:02:34
1.793748;1.131086;3.287896;11:02:35
1.575919;1.108636;2.916743;11:02:36
1.497167;1.117865;2.814313;11:02:37
1.293239;1.105041;2.433359;11:02:38
0.9018532;1.090204;1.98941;11:02:39
0.4994274;1.088982;1.504369;11:02:40
0.259726;1.082393;1.085145;11:02:41
-0.07398272;1.050585;0.8268394;11:02:42
-0.2796946;1.022093;0.7826071;11:02:43
-0.1975812;1.049501;0.8334241;11:02:44
-0.2212289;1.059163;0.8497145;11:02:45
-0.2098125;1.063629;0.8404801;11:02:46
-0.2269076;1.051558;0.7983842;11:02:47
-0.2434147;1.041957;0.8164456;11:02:48
-0.0637778;1.057786;0.8648129;11:02:49
0.2070739;1.119095;1.442967;11:02:50
-0.08780402;1.081639;2.013157;11:02:51
-0.4605941;1.071239;2.603836;11:02:52
-0.7613842;1.037416;3.033376;11:02:53
-0.7524334;1.032467;2.985097;11:02:54
-0.5850854;1.069864;2.685748;11:02:55
-0.3195961;1.061749;2.400529;11:02:56
-0.1176659;1.064214;2.133515;11:02:57
-0.2315909;1.063393;1.745292;11:02:58
-0.04956686;1.06668;1.293313;11:02:59
-0.2421314;1.039134;1.049356;11:03:00
-0.1759378;1.068793;1.1558;11:03:01
0.1122989;1.105746;1.650307;11:03:02
-0.06010866;1.081647;2.21162;11:03:03
0.04537237;1.114423;2.581295;11:03:04
-0.04680014;1.128281;2.646286;11:03:05
-0.5828028;1.117392;2.859768;11:03:06
-1.168154;1.127012;3.310468;11:03:07
-1.605098;1.14273;3.755961;11:03:08
-1.614982;1.119414;3.650555;11:03:09
-1.514723;1.097309;3.458463;11:03:10
-1.138285;1.090756;3.164064;11:03:11
-0.879059;1.069449;2.944428;11:03:12
-0.5149102;1.071212;2.528749;11:03:13
-0.3485985;1.097833;2.050144;11:03:14
-0.05794412;1.079183;1.532422;11:03:15
-0.2863454;1.044431;1.233374;11:03:16
-0.2230432;1.076579;1.383297;11:03:17
-0.04750663;1.119242;1.975959;11:03:18
-0.368972;1.098419;2.535057;11:03:19
-0.8618561;1.07105;3.09525;11:03:20
-1.379598;1.128384;3.676508;11:03:21
-1.591962;1.131393;4.074586;11:03:22
-1.605033;1.117859;4.062625;11:03:23
-1.44055;1.11048;3.744545;11:03:24
-1.102566;1.090587;3.415697;11:03:25
-0.6633042;1.094361;3.010548;11:03:26
-0.4219004;1.075373;2.475753;11:03:27
-0.3437726;1.079287;1.844366;11:03:28
-0.3901054;1.051321;1.434855;11:03:29
-0.1398839;1.047539;1.844297;11:03:30
-0.06498879;1.071392;2.096728;11:03:31
0.5923296;0.9431567;2.354524;11:03:32
0.4361435;1.010924;2.198919;11:03:33
0.03587973;1.067133;1.795528;11:03:34
-0.2987646;1.073849;1.602759;11:03:35
-0.3496975;1.036172;1.540049;11:03:37
-0.1135935;1.059633;1.570913;11:03:38
-0.03178614;1.071381;1.878812;11:03:39
-0.1567518;0.9989325;2.12764;11:03:40
-0.01925135;1.047913;1.905025;11:03:41
-0.160278;1.065609;1.72145;11:03:42
-0.2910137;1.04637;1.599422;11:03:43
-0.2955425;1.053501;1.299298;11:03:44
-0.3383852;1.011571;1.04384;11:03:45
-0.2985101;0.996913;1.012481;11:03:46
-0.286503;1.048858;1.113832;11:03:47
-0.1778327;0.9510458;0.8893931;11:03:48
-0.1793401;1.038939;1.013023;11:03:49
-0.01171511;1.050551;0.7735426;11:03:50
-0.09788495;1.020323;0.6781251;11:03:51
-0.1051784;1.01454;0.6694741;11:03:52
-0.06169242;1.029149;0.6811514;11:03:53
-0.02100587;1.039513;0.6945362;11:03:54
-0.1203328;1.031921;0.6530933;11:03:55
-0.0965389;1.040391;0.7794032;11:03:56
-0.1551425;1.034716;0.8423755;11:03:57
-0.1863641;1.0245;0.8800852;11:03:58
-0.1730168;1.027389;0.8717656;11:03:59
-0.178638;1.027185;0.8799012;11:04:00
0.1411377;1.063163;0.9168689;11:04:01
0.3024794;1.073098;1.377409;11:04:02
0.3118476;1.115614;1.830453;11:04:03
0.4892941;1.120149;2.402652;11:04:04
0.952442;1.121638;3.137589;11:04:05
1.18924;1.137982;3.878022;11:04:06
1.216662;1.128538;3.938231;11:04:07
1.084921;1.100795;3.450042;11:04:08
0.7809743;1.067663;2.911327;11:04:09
0.5412104;1.081959;2.263043;11:04:10
0.2960538;1.08339;1.628318;11:04:11
0.06838489;1.066318;1.029449;11:04:12
-0.05292916;1.052471;0.9213805;11:04:13
0.3421115;1.091394;1.387647;11:04:14
0.6671146;1.122524;2.190333;11:04:15
1.203588;1.102717;2.96173;11:04:16
1.655437;1.137465;3.702412;11:04:17
1.965539;1.108076;4.579756;11:04:18
2.070973;1.117099;4.802392;11:04:19
1.798409;1.127285;4.492025;11:04:20
1.734965;1.101601;4.042222;11:04:21
1.526845;1.095553;3.525152;11:04:22
1.345092;1.061286;2.907372;11:04:23
0.9080222;1.064421;2.223573;11:04:24
0.4059708;1.07318;1.695042;11:04:25
-0.005838037;1.056892;1.362878;11:04:26
0.1193399;1.044374;1.366262;11:04:27
0.6021515;1.114718;1.828968;11:04:28
